transport_mode,country,year,value,is_estimated,not_applicable
inland_waterways,AT,2005,0.033,False,False
inland_waterways,BE,2005,0.135,False,False
inland_waterways,BG,2005,0.300,True,False
inland_waterways,CH,2005,0.001,True,False
inland_waterways,CY,2005,,False,True
inland_waterways,CZ,2005,0.001,False,False
inland_waterways,DE,2005,0.121,False,False
inland_waterways,DK,2005,,False,True
inland_waterways,EE,2005,,False,True
inland_waterways,EL,2005,,False,True
inland_waterways,ES,2005,,False,True
inland_waterways,EU27_2020,2005,0.071,True,False
inland_waterways,EU28,2005,0.065,True,False
inland_waterways,FI,2005,0.002,False,False
inland_waterways,FR,2005,0.026,False,False
inland_waterways,HR,2005,0.051,True,False
inland_waterways,HU,2005,0.063,False,False
inland_waterways,IE,2005,,False,True
inland_waterways,IT,2005,0.000,False,False
inland_waterways,LT,2005,0.000,False,False
inland_waterways,LU,2005,0.131,False,False
inland_waterways,LV,2005,,False,True
inland_waterways,MT,2005,,False,True
inland_waterways,NL,2005,0.432,False,False
inland_waterways,NO,2005,,False,True
inland_waterways,PL,2005,0.002,False,False
inland_waterways,PT,2005,,False,True
inland_waterways,RO,2005,0.232,True,False
inland_waterways,SE,2005,,False,True
inland_waterways,SI,2005,,False,True
inland_waterways,SK,2005,0.042,True,False
inland_waterways,UK,2005,0.001,False,False
rail,AT,2005,0.357,False,False
rail,BE,2005,0.128,False,False
rail,BG,2005,0.223,True,False
rail,CH,2005,0.336,True,False
rail,CY,2005,,False,True
rail,CZ,2005,0.314,False,False
rail,DE,2005,0.180,False,False
rail,DK,2005,0.106,False,False
rail,EE,2005,0.800,False,False
rail,EL,2005,0.027,False,False
rail,ES,2005,0.052,False,False
rail,EU27_2020,2005,0.185,True,False
rail,EU28,2005,0.179,True,False
rail,FI,2005,0.252,False,False
rail,FR,2005,0.118,False,False
rail,HR,2005,0.200,True,False
rail,HU,2005,0.272,False,False
rail,IE,2005,0.019,False,False
rail,IT,2005,0.100,False,False
rail,LT,2005,0.736,False,False
rail,LU,2005,0.150,False,False
rail,LV,2005,0.841,False,False
rail,MT,2005,,False,True
rail,NL,2005,0.060,False,False
rail,NO,2005,0.157,False,False
rail,PL,2005,0.365,False,False
rail,PT,2005,0.092,False,False
rail,RO,2005,0.260,True,False
rail,SE,2005,0.324,False,False
rail,SI,2005,0.311,False,False
rail,SK,2005,0.454,True,False
rail,UK,2005,0.113,False,False
rail_inland_waterways_sum_of_available,AT,2005,0.390,False,False
